ID,Gene.symbol,Gene.title,log2_fold_change,.-log10(Pvalue)(Infiltrating ductal carcinoma vs Normal),adj.P.Val
206640_x_at,GAGE12D///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE12G///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE2C,G antigen 12D///G antigen 12F///G antigen 2A///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 12G///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 2C,-0.672,2.786,0.0281
206685_at,HCG4,HLA complex group 4 (non-protein coding),0.753,2.937,0.0217
206701_x_at,EDNRB,endothelin receptor type B,-0.635,2.424,0.000376
206702_at,TEK,TEK receptor tyrosine kinase,-0.651,2.704,0.0318
206742_at,PIR-FIGF///FIGF,PIR-FIGF readthrough///c-fos induced growth factor,-0.482,3.087,0.0168
206854_s_at,MAP3K7,mitogen-activated protein kinase kinase kinase 7,0.5,2.74,0.0302
206976_s_at,HSPH1,heat shock protein family H (Hsp110) member 1,0.941,4.88,0.000727
206999_at,IL12RB2,interleukin 12 receptor subunit beta 2,0.755,2.745,0.03
207036_x_at,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,-0.77,3.071,0.0173
207056_s_at,SLC4A8,solute carrier family 4 member 8,0.552,2.458,0.0471
207057_at,SLC16A7,solute carrier family 16 member 7,-0.927,5.726,0.000166
207071_s_at,ACO1,aconitase 1,-0.609,3.512,0.00817
207076_s_at,ASS1,argininosuccinate synthase 1,-0.778,3.33,0.0112
207092_at,LEP,leptin,-2.867,9.867,8.41E-08
207121_s_at,MAPK6,mitogen-activated protein kinase 6,1.342,8.857,0.000000484
207160_at,IL12A,interleukin 12A,-1.009,5.001,0.000584
207165_at,HMMR,hyaluronan mediated motility receptor,1.366,5.041,0.000548
207168_s_at,H2AFY,H2A histone family member Y,0.454,2.512,0.0436
207169_x_at,MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1,0.558,3.214,0.00000529
207173_x_at,CDH11,cadherin 11,0.648,2.724,0.0307
207175_at,ADIPOQ,"adiponectin, C1Q and collagen domain containing",-1.703,8.012,0.00000233
207233_s_at,MITF,melanogenesis associated transcription factor,-0.465,3.612,0.00687
207275_s_at,ACSL1,acyl-CoA synthetase long-chain family member 1,-0.957,5.001,0.000584
207302_at,SGCG,sarcoglycan gamma,-0.939,3.931,0.00391
207317_s_at,CASQ2,calsequestrin 2,-0.685,2.58,0.0389
207437_at,NOVA1,NOVA alternative splicing regulator 1,-1.149,2.935,0.0218
207455_at,P2RY1,purinergic receptor P2Y1,-0.457,2.76,0.0292
207483_s_at,CAND1,cullin associated and neddylation dissociated 1,1.043,4.591,0.00121
207578_s_at,HTR4,5-hydroxytryptamine receptor 4,-0.692,4.536,0.00132
207621_s_at,PEMT,phosphatidylethanolamine N-methyltransferase,-1.017,3.332,0.0112
207654_x_at,DR1,down-regulator of transcription 1,0.824,2.87,0.0245
207655_s_at,BLNK,B-cell linker,0.497,3.519,0.00808
207730_x_at,,,0.607,2.535,#N/D
207761_s_at,METTL7A,methyltransferase like 7A,-0.53,2.619,0.0367
207802_at,CRISP3,cysteine rich secretory protein 3,1.233,3.048,0.018
207828_s_at,CENPF,centromere protein F,1.16,5.089,0.000505
207855_s_at,CLCC1,chloride channel CLIC like 1,0.834,3.418,0.00967
207856_s_at,LOC150776///SMPD4,"sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3) pseudogene///sphingomyelin phosphodiesterase 4",0.852,3.1,0.0164
207934_at,RFPL1,ret finger protein like 1,1.009,2.916,0.0226
207941_s_at,RBM39,RNA binding motif protein 39,0.58,4.214,0.0024
207977_s_at,DPT,dermatopontin,-0.998,2.473,0.000000353
207986_x_at,CYB561,cytochrome b561,0.66,3.574,0.000154
208012_x_at,SP110,SP110 nuclear body protein,0.695,2.973,0.0204
208022_s_at,CDC14B,cell division cycle 14B,-0.693,2.645,0.0351
208029_s_at,LAPTM4B,lysosomal protein transmembrane 4 beta,1.75,7.988,0.00000244
208051_s_at,PAIP1,poly(A) binding protein interacting protein 1,0.681,5.123,0.000478
208079_s_at,AURKA,aurora kinase A,1.281,5.314,0.000345
208087_s_at,ZBP1,Z-DNA binding protein 1,0.616,2.705,0.0317
208095_s_at,SRP72,signal recognition particle 72,0.85,2.456,0.0461
208096_s_at,COL21A1,collagen type XXI alpha 1 chain,0.633,2.992,0.0198
208152_s_at,DDX21,DEAD-box helicase 21,0.383,2.825,0.0264
208186_s_at,LIPE,"lipase E, hormone sensitive type",-0.785,5.372,0.000304
208246_x_at,,,0.835,2.742,#N/D
208291_s_at,TH,tyrosine hydroxylase,0.686,3.088,0.0168
208383_s_at,PCK1,phosphoenolpyruvate carboxykinase 1,-2.309,7.111,0.000012
208451_s_at,C4B_2///C4B///C4A,"complement component 4B (Chido blood group), copy 2///complement component 4B (Chido blood group)///complement component 4A (Rodgers blood group)",1.302,5.544,0.000229
208510_s_at,PPARG,peroxisome proliferator activated receptor gamma,-1.806,9.541,0.000000156
208539_x_at,SPRR2B,small proline rich protein 2B,-0.517,2.85,0.0253
208579_x_at,H2BFS,H2B histone family member S,0.839,2.938,0.0217
208580_x_at,HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I,"histone cluster 2, H4b///histone cluster 4, H4///histone cluster 2, H4a///histone cluster 1, H4l///histone cluster 1, H4e///histone cluster 1, H4b///histone cluster 1, H4h///histone cluster 1, H4c///histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4a///histone cluster 1, H4i",0.536,2.874,0.0244
208581_x_at,MT1X,metallothionein 1X,-0.509,3.104,0.0000633
208607_s_at,SAA2-SAA4///SAA2///SAA1,SAA2-SAA4 readthrough///serum amyloid A2///serum amyloid A1,-1.8,4.516,0.00137
208625_s_at,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,0.603,2.568,0.0398
208642_s_at,XRCC5,X-ray repair cross complementing 5,0.537,3.602,0.00701
208644_at,PARP1,poly(ADP-ribose) polymerase 1,0.475,2.849,0.0253
208650_s_at,CD24,CD24 molecule,2.445,9.182,1.45E-11
208651_x_at,CD24,CD24 molecule,1.202,9.175,1.45E-11
208682_s_at,MAGED2,MAGE family member D2,1.55,4.802,0.000833
208696_at,CCT5,chaperonin containing TCP1 subunit 5,0.873,3.895,0.00419
208698_s_at,NONO,"non-POU domain containing, octamer-binding",1.108,4.622,0.00115
208716_s_at,TMCO1,transmembrane and coiled-coil domains 1,0.982,3.788,0.00507
208737_at,ATP6V1G1,ATPase H+ transporting V1 subunit G1,1.227,7.171,0.0000106
208740_at,SAP18,Sin3A associated protein 18,-0.838,4.703,0.001
208758_at,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,0.638,2.708,0.0315
208766_s_at,HNRNPR,heterogeneous nuclear ribonucleoprotein R,0.516,3.338,0.0111
208775_at,XPO1,exportin 1,0.474,2.777,0.0284
208787_at,MRPL3,mitochondrial ribosomal protein L3,0.471,2.901,0.0232
208789_at,PTRF,polymerase I and transcript release factor,-1.399,5.652,0.000192
208790_s_at,PTRF,polymerase I and transcript release factor,-0.961,4.079,0.000192
208794_s_at,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",1.29,5.429,0.000279
208802_at,SRP72,signal recognition particle 72,0.727,2.471,0.0461
208808_s_at,HMGB2,high mobility group box 2,0.662,3.412,0.00976
208815_x_at,HSPA4,heat shock protein family A (Hsp70) member 4,0.506,2.514,0.0434
208821_at,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1,0.5,2.735,0.00000777
208822_s_at,DAP3,death associated protein 3,0.727,2.566,0.0399
208838_at,CAND1,cullin associated and neddylation dissociated 1,0.489,2.451,0.00121
208841_s_at,G3BP2,G3BP stress granule assembly factor 2,0.485,2.946,0.0214
208852_s_at,CANX,calnexin,0.535,2.818,0.0266
208858_s_at,ESYT1,extended synaptotagmin 1,-0.519,2.557,0.0405
208863_s_at,SRSF1,serine and arginine rich splicing factor 1,0.665,2.557,0.00317
208864_s_at,TXN,thioredoxin,0.654,4.229,0.00234
208881_x_at,IDI1,isopentenyl-diphosphate delta isomerase 1,0.469,2.765,0.029
208882_s_at,UBR5,ubiquitin protein ligase E3 component n-recognin 5,0.519,3.035,0.0183
208894_at,HLA-DRA,"major histocompatibility complex, class II, DR alpha",0.998,2.617,0.0131
208900_s_at,TOP1,topoisomerase (DNA) I,0.756,3.144,0.0115
208901_s_at,TOP1,topoisomerase (DNA) I,1.006,3.317,0.0115
208905_at,CYCS,"cytochrome c, somatic",0.512,2.516,0.0432
208910_s_at,C1QBP,complement C1q binding protein,0.627,3.193,0.014
208913_at,GGA2,"golgi associated, gamma adaptin ear containing, ARF binding protein 2",0.448,2.529,0.0422
208988_at,KDM2A,lysine demethylase 2A,0.918,3.791,0.00505
208993_s_at,PPIG,peptidylprolyl isomerase G,0.362,2.765,0.029
208999_at,sep-08,septin 8,0.852,5.104,0.000495
209006_s_at,RSRP1,arginine and serine rich protein 1,0.59,3.425,0.00954
209007_s_at,RSRP1,arginine and serine rich protein 1,0.457,3.306,0.00954
209008_x_at,KRT8,keratin 8,1.144,6.936,0.0000164
209016_s_at,KRT7,keratin 7,2.905,9.105,0.00000033
209027_s_at,ABI1,abl interactor 1,0.546,2.737,0.019
209028_s_at,ABI1,abl interactor 1,0.532,3.016,0.019
209035_at,MDK,midkine (neurite growth-promoting factor 2),1.31,4.411,0.00167
209043_at,PAPSS1,3'-phosphoadenosine 5'-phosphosulfate synthase 1,0.877,3.638,0.00657
209049_s_at,ZMYND8,zinc finger MYND-type containing 8,1.108,5.627,0.000199
209064_x_at,PAIP1,poly(A) binding protein interacting protein 1,0.565,4.259,0.000478
209074_s_at,FAM107A,family with sequence similarity 107 member A,-0.694,3.355,0.0107
209086_x_at,MIR6756///MCAM,microRNA 6756///melanoma cell adhesion molecule,-0.903,4.308,0.00114
209087_x_at,MCAM,melanoma cell adhesion molecule,-0.632,4.542,0.00131
209094_at,DDAH1,dimethylarginine dimethylaminohydrolase 1,0.61,2.624,0.0364
209100_at,IFRD2,interferon related developmental regulator 2,-0.562,4.059,0.00315
209104_s_at,NHP2,NHP2 ribonucleoprotein,1.455,5.335,0.000329
209115_at,UBA3,ubiquitin like modifier activating enzyme 3,0.485,2.692,0.0324
209116_x_at,HBB,hemoglobin subunit beta,-2.829,7.237,0.00000936
209122_at,PLIN2,perilipin 2,-0.489,2.435,0.0489
209127_s_at,SART3,squamous cell carcinoma antigen recognized by T-cells 3,0.599,4.759,0.000902
209132_s_at,COMMD4,COMM domain containing 4,0.662,3.075,0.0172
209138_x_at,IGLC1,immunoglobulin lambda constant 1,1.858,8.098,0.00000204
209146_at,MSMO1,methylsterol monooxygenase 1,0.796,4.783,0.000866
209160_at,AKR1C3,"aldo-keto reductase family 1, member C3",-2.445,7.416,0.00000678
209163_at,CYB561,cytochrome b561,1.091,5.759,0.000154
209172_s_at,CENPF,centromere protein F,0.74,3.055,0.000505
209173_at,AGR2,"anterior gradient 2, protein disulphide isomerase family member",2.73,7.049,0.0000133
209175_at,SEC23IP,SEC23 interacting protein,0.774,3.662,0.0063
209181_s_at,SNORD45C///SNORD45A///SNORD45B///RABGGTB,"small nucleolar RNA, C/D box 45C///small nucleolar RNA, C/D box 45A///small nucleolar RNA, C/D box 45B///Rab geranylgeranyltransferase beta subunit",0.6,3.311,0.0115
209183_s_at,C10orf10,chromosome 10 open reading frame 10,-1.773,7.621,0.00000472
209184_s_at,IRS2,insulin receptor substrate 2,-0.503,2.607,0.0116
209185_s_at,IRS2,insulin receptor substrate 2,-0.597,3.303,0.0116
209189_at,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",-2.108,4.562,0.00127
209194_at,CETN2,centrin 2,0.722,2.498,0.0444
209209_s_at,FERMT2,fermitin family member 2,-1.005,3.32,0.000527
209210_s_at,FERMT2,fermitin family member 2,-0.977,5.063,0.000527
209211_at,KLF5,Kruppel like factor 5,0.91,2.892,0.0236
209218_at,SQLE,squalene epoxidase,0.525,3.996,0.00352
209222_s_at,OSBPL2,oxysterol binding protein like 2,0.618,2.566,0.0399
209226_s_at,TNPO1,transportin 1,1.044,2.642,0.0353
209240_at,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,0.521,3.19,0.0141
209251_x_at,TUBA1C,tubulin alpha 1c,0.656,3.234,0.0131
209297_at,ITSN1,intersectin 1,-1.363,4.187,0.00001
209298_s_at,ITSN1,intersectin 1,-2.139,7.201,0.00001
209302_at,POLR2H,RNA polymerase II subunit H,0.572,4.085,0.00302
209309_at,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",1.084,2.759,0.0292
209326_at,SLC35A2,solute carrier family 35 member A2,0.613,4.615,0.00117
209355_s_at,PLPP3,phospholipid phosphatase 3,-0.621,3.641,0.00271
209357_at,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,-1.009,5.522,0.000238
209360_s_at,LOC101928269///LOC100506403///RUNX1,uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1,1.5,6.114,0.0000787
209374_s_at,IGHM,immunoglobulin heavy constant mu,1.437,5.137,0.000468
209391_at,DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory",0.734,3.595,0.00709
209395_at,CHI3L1,chitinase 3 like 1,1.495,3.076,0.0172
209439_s_at,PHKA2,phosphorylase kinase regulatory subunit alpha 2,-0.538,2.633,0.0359
209446_s_at,,,0.552,2.959,#N/D
209448_at,HTATIP2,HIV-1 Tat interactive protein 2,0.821,2.772,0.0287
209458_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-2.167,6.481,0.000000154
209485_s_at,OSBPL1A,oxysterol binding protein like 1A,-0.867,4.844,0.000774
209487_at,RBPMS,RNA binding protein with multiple splicing,-1.026,3.068,0.00662
209488_s_at,RBPMS,RNA binding protein with multiple splicing,-0.468,3.632,0.00662
209493_at,PDZD2,PDZ domain containing 2,-1.369,7.77,0.00000357
209496_at,RARRES2,retinoic acid receptor responder 2,-1.927,6.43,0.0000436
209512_at,HSDL2,hydroxysteroid dehydrogenase like 2,-1.333,6.941,0.0000164
209513_s_at,HSDL2,hydroxysteroid dehydrogenase like 2,-1.356,5.153,0.0000164
209524_at,HDGFRP3,"hepatoma-derived growth factor, related protein 3",0.872,3.245,0.0128
209529_at,PLPP2,phospholipid phosphatase 2,1.091,2.99,0.0199
209539_at,ARHGEF6,Rac/Cdc42 guanine nucleotide exchange factor 6,-0.706,3.961,0.00374
209540_at,IGF1,insulin like growth factor 1,-1.347,4.152,0.00269
209541_at,IGF1,insulin like growth factor 1,-0.598,2.878,0.00269
209542_x_at,IGF1,insulin like growth factor 1,-1.344,3.9,0.00269
209550_at,NDN,"necdin, MAGE family member",-0.848,5.055,0.000535
209555_s_at,CD36,CD36 molecule,-2.126,7.072,0.0000128
209572_s_at,EED,embryonic ectoderm development,0.807,2.96,0.0209
209576_at,GNAI1,G protein subunit alpha i1,-1.035,2.616,0.0368
209581_at,PLA2G16,phospholipase A2 group XVI,-1.816,8.041,0.00000223
209586_s_at,PRUNE1,prune exopolyphosphatase,0.671,3.771,0.00524
209596_at,MXRA5,matrix remodeling associated 5,0.506,2.631,0.0359
209602_s_at,GATA3,GATA binding protein 3,2.814,9.689,0.000000123
209603_at,GATA3,GATA binding protein 3,1.72,6.595,0.000000123
209604_s_at,GATA3,GATA binding protein 3,1.153,5.21,0.000000123
209605_at,TST,thiosulfate sulfurtransferase,-1.265,5.994,0.0000995
209612_s_at,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",-1.767,7.199,0.00000188
209613_s_at,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",-2.185,6.801,0.00000188
209614_at,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",-1.644,8.14,0.00000188
209616_s_at,LOC100653057///CES1,liver carboxylesterase 1-like///carboxylesterase 1,-1.469,6.96,0.000016
209642_at,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,0.783,3.39,0.0101
209656_s_at,TMEM47,transmembrane protein 47,-0.672,3.977,0.00364
209674_at,CRY1,cryptochrome circadian clock 1,0.869,3.467,0.00884
209686_at,S100B,S100 calcium binding protein B,-1.506,8.842,0.000000494
209693_at,ASTN2,astrotactin 2,0.749,2.718,0.0311
209694_at,PTS,6-pyruvoyltetrahydropterin synthase,0.916,4.721,0.000973
209699_x_at,LOC101930400///AKR1C2,"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2",-2.368,9.025,0.000000357
209714_s_at,CDKN3,cyclin dependent kinase inhibitor 3,0.636,3.68,0.0061
209715_at,CBX5,chromobox 5,0.638,2.998,0.0196
209731_at,NTHL1,nth like DNA glycosylase 1,1.006,2.861,0.0249
209744_x_at,ITCH,itchy E3 ubiquitin protein ligase,0.827,4.713,0.000983
209748_at,SPAST,spastin,0.579,2.907,0.023
209763_at,CHRDL1,chordin like 1,-0.931,5.935,0.00011
209771_x_at,CD24,CD24 molecule,1.915,12.011,1.45E-11
209772_s_at,CD24,CD24 molecule,0.884,3.75,1.45E-11
209773_s_at,RRM2,ribonucleotide reductase regulatory subunit M2,0.487,2.496,0.00000179
209774_x_at,CXCL2,C-X-C motif chemokine ligand 2,-1.018,3.399,0.01
209775_x_at,SLC19A1,solute carrier family 19 member 1,-0.905,3.724,0.00565
209780_at,PHTF2,putative homeodomain transcription factor 2,1.067,4.438,0.00158
209789_at,CORO2B,coronin 2B,-0.454,2.437,0.0488
209796_s_at,CNPY2,canopy FGF signaling regulator 2,0.946,2.564,0.04
209803_s_at,PHLDA2,pleckstrin homology like domain family A member 2,1.264,5.072,0.000518
209806_at,HIST1H2BK,"histone cluster 1, H2bk",1.214,5.624,0.0002
209831_x_at,DNASE2,"deoxyribonuclease 2, lysosomal",0.588,2.529,0.0422
209859_at,TRIM9,tripartite motif containing 9,0.886,4.282,0.00211
209865_at,SLC35A3,solute carrier family 35 member A3,1.178,3.605,0.00697
209875_s_at,SPP1,secreted phosphoprotein 1,0.92,4.379,0.00177
209894_at,LEPROT///LEPR,leptin receptor overlapping transcript///leptin receptor,-1.25,4.869,0.000744
209896_s_at,PTPN11,"protein tyrosine phosphatase, non-receptor type 11",-0.998,2.927,0.0221
209921_at,SLC7A11,solute carrier family 7 member 11,0.589,3.371,0.0104
209931_s_at,MFSD2B///FKBP1B,major facilitator superfamily domain containing 2B///FK506 binding protein 1B,0.765,2.489,0.045
209955_s_at,FAP,fibroblast activation protein alpha,0.746,2.474,0.046
209969_s_at,STAT1,signal transducer and activator of transcription 1,1.128,4.839,0.000777
209974_s_at,BUB3,"BUB3, mitotic checkpoint protein",0.423,2.498,0.00193
209998_at,PIGO,phosphatidylinositol glycan anchor biosynthesis class O,-0.79,2.561,0.0402
210008_s_at,MRPS12,mitochondrial ribosomal protein S12,0.766,2.797,0.0276
210046_s_at,IDH2,"isocitrate dehydrogenase (NADP(+)) 2, mitochondrial",1.451,7.616,0.00000473
210053_at,TAF5,TATA-box binding protein associated factor 5,0.86,2.666,0.0339
210078_s_at,KCNAB1,potassium voltage-gated channel subfamily A member regulatory beta subunit 1,-1.273,7.345,0.00000774
210092_at,MAGOHB///MAGOH,"mago homolog B, exon junction complex core component///mago homolog, exon junction complex core component",0.771,2.735,0.00144
210093_s_at,MAGOHB///MAGOH,"mago homolog B, exon junction complex core component///mago homolog, exon junction complex core component",0.673,4.488,0.00144
210096_at,CYP4B1,cytochrome P450 family 4 subfamily B member 1,-0.794,3.375,0.0104
210145_at,PLA2G4A,phospholipase A2 group IVA,-1.056,3.137,0.0155
210201_x_at,BIN1,bridging integrator 1,-1.368,9.07,0.000000339
210203_at,CNOT4,CCR4-NOT transcription complex subunit 4,-0.685,3.177,0.0144
210211_s_at,HSP90AA1,heat shock protein 90 alpha family class A member 1,0.627,3.493,0.00843
210216_x_at,RAD1,RAD1 checkpoint DNA exonuclease,0.555,3.178,0.0144
210222_s_at,RTN1,reticulon 1,-0.597,2.765,0.029
210266_s_at,TRIM33,tripartite motif containing 33,0.591,2.433,0.0489
210281_s_at,ZMYM2,zinc finger MYM-type containing 2,0.741,3.647,0.00648
210293_s_at,SEC23B,"Sec23 homolog B, coat complex II component",0.652,4.157,0.00267
210298_x_at,FHL1,four and a half LIM domains 1,-1.889,10.767,1.41E-08
210299_s_at,FHL1,four and a half LIM domains 1,-1.47,4.687,1.41E-08
210305_at,PDE4DIP,phosphodiesterase 4D interacting protein,-0.54,2.592,0.0383
210309_at,RECQL5,RecQ like helicase 5,0.652,3.298,0.0117
210375_at,PTGER3,prostaglandin E receptor 3,-1.154,5.76,0.0000355
210381_s_at,CCKBR,cholecystokinin B receptor,-0.549,3.479,0.00867
210396_s_at,SMG1P5///BOLA2///SMG1P2,"SMG1P5, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 5///bolA family member 2///SMG1P2, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 2",0.514,2.895,0.0234
210406_s_at,WTH3DI///RAB6C///RAB6A,"RAB6C-like///RAB6C, member RAS oncogene family///RAB6A, member RAS oncogene family",0.812,2.562,0.0401
210439_at,ICOS,inducible T-cell costimulator,0.597,3.226,0.0132
210495_x_at,FN1,fibronectin 1,1.146,5.173,0.0000567
210511_s_at,INHBA,inhibin beta A subunit,1.379,4.552,0.00129
210517_s_at,AKAP12,A-kinase anchoring protein 12,-1.302,5.636,0.000198
210527_x_at,TUBA3D///TUBA3C,tubulin alpha 3d///tubulin alpha 3c,0.94,2.562,0.0401
210538_s_at,BIRC3,baculoviral IAP repeat containing 3,0.583,3.333,0.0112
210559_s_at,CDK1,cyclin dependent kinase 1,1.042,5.036,0.0000126
210663_s_at,KYNU,kynureninase,0.978,3.843,0.00457
210715_s_at,SPINT2,"serine peptidase inhibitor, Kunitz type 2",1.745,11.105,8.33E-09
210740_s_at,ITPK1,inositol-tetrakisphosphate 1-kinase,-1.177,5.272,0.000374
210751_s_at,RGN,regucalcin,-0.658,3.859,0.00444
210759_s_at,PSMA1,proteasome subunit alpha 1,0.554,2.96,0.0209
210762_s_at,DLC1,DLC1 Rho GTPase activating protein,-0.928,4.685,0.00103
210766_s_at,CSE1L,chromosome segregation 1 like,0.875,4.341,0.000244
210809_s_at,POSTN,periostin,0.76,5.13,0.000473
210832_x_at,PTGER3,prostaglandin E receptor 3,-0.969,4.204,0.0000355
210835_s_at,CTBP2,C-terminal binding protein 2,0.501,3.693,0.00599
210859_x_at,CLN3,"CLN3, battenin",0.616,2.464,0.0467
210869_s_at,MIR6756///MCAM,microRNA 6756///melanoma cell adhesion molecule,-1.146,4.63,0.00114
210946_at,PLPP1,phospholipid phosphatase 1,-0.656,3.8,0.00498
210951_x_at,RAB27A,"RAB27A, member RAS oncogene family",0.769,3.851,0.00451
210963_s_at,GYG2,glycogenin 2,-0.494,2.484,4.71E-09
210964_s_at,GYG2,glycogenin 2,-2.11,11.471,4.71E-09
210970_s_at,IBTK,inhibitor of Bruton tyrosine kinase,0.496,2.501,0.0442
210982_s_at,HLA-DRA,"major histocompatibility complex, class II, DR alpha",1.257,3.229,0.0131
210985_s_at,SP100,SP100 nuclear antigen,0.845,3.683,0.00608
211026_s_at,MGLL,monoglyceride lipase,-0.578,3.698,0.00593
211058_x_at,TUBA1B,tubulin alpha 1b,0.519,2.857,0.025
211072_x_at,TUBA1B,tubulin alpha 1b,0.54,2.808,0.025
211075_s_at,CD47,CD47 molecule,0.512,2.659,0.00671
211202_s_at,KDM5B,lysine demethylase 5B,0.446,2.853,0.00724
211208_s_at,CASK,calcium/calmodulin dependent serine protein kinase,0.616,3.78,0.00515
211270_x_at,PTBP1,polypyrimidine tract binding protein 1,0.842,2.792,0.0278
211271_x_at,MIR4745///PTBP1,microRNA 4745///polypyrimidine tract binding protein 1,0.519,3.128,0.000139
211297_s_at,CDK7,cyclin dependent kinase 7,0.922,2.828,0.0262
211375_s_at,ILF3,interleukin enhancer binding factor 3,0.623,2.981,0.0201
211378_x_at,LOC101060363///PPIA,peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A,0.489,2.597,0.03
211421_s_at,RET,ret proto-oncogene,0.909,3.272,0.0123
211430_s_at,MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1,microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker),0.892,5.074,0.000518
211458_s_at,GABARAPL3///GABARAPL1,GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1,-1.64,4.928,0.000666
211499_s_at,MAPK11,mitogen-activated protein kinase 11,-0.769,2.506,0.0439
211571_s_at,VCAN,versican,0.85,3.035,0.0184
211577_s_at,IGF1,insulin like growth factor 1,-0.702,3.057,0.00269
211643_x_at,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant,0.614,2.484,0.0000354
211653_x_at,LOC101930400///AKR1C2,"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2",-2.236,7.72,0.000000357
211657_at,CEACAM6,carcinoembryonic antigen related cell adhesion molecule 6,0.667,3.397,0.01
211687_x_at,KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1",-0.644,3.154,0.015
211696_x_at,HBB,hemoglobin subunit beta,-1.372,6.353,0.00000936
211699_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-1.641,4.884,0.000000154
211700_s_at,TRO,trophinin,0.655,2.689,0.0325
211709_s_at,CLEC11A,C-type lectin domain family 11 member A,1.055,3.055,0.0178
211713_x_at,KIAA0101,KIAA0101,0.464,2.555,0.000757
211719_x_at,FN1,fibronectin 1,2.163,5.796,0.0000567
211726_s_at,FMO2,flavin containing monooxygenase 2,-0.552,4.423,0.00162
211728_s_at,HYAL3,hyaluronoglucosaminidase 3,0.98,2.835,0.0259
211745_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-2.337,7.084,0.000000154
211762_s_at,KPNA2,karyopherin subunit alpha 2,0.676,4.24,0.00229
211784_s_at,SRSF1,serine and arginine rich splicing factor 1,0.666,4.054,0.00317
211799_x_at,HLA-C,"major histocompatibility complex, class I, C",0.953,3.23,0.0131
211922_s_at,CAT,catalase,-1.177,4.089,0.00106
211930_at,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3,0.67,2.57,0.0397
211931_s_at,HNRNPA3///HNRNPA3P1,heterogeneous nuclear ribonucleoprotein A3///heterogeneous nuclear ribonucleoprotein A3 pseudogene 1,0.558,4.161,0.000553
211933_s_at,HNRNPA3///HNRNPA3P1,heterogeneous nuclear ribonucleoprotein A3///heterogeneous nuclear ribonucleoprotein A3 pseudogene 1,0.792,5.032,0.000553
211936_at,HSPA5,heat shock protein family A (Hsp70) member 5,1.273,4.562,0.00127
211946_s_at,PRRC2C,proline rich coiled-coil 2C,1.061,6.692,0.0000262
211951_at,NOLC1,nucleolar and coiled-body phosphoprotein 1,0.822,4.143,0.00273
211966_at,COL4A2,collagen type IV alpha 2 chain,-0.607,2.88,0.0242
211967_at,TMEM123,transmembrane protein 123,0.582,3.961,0.00374
211968_s_at,HSP90AA1,heat shock protein 90 alpha family class A member 1,0.562,3.068,0.00843
