ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
210543_s_at,7.61E-01,4.73E-01,7.21E-01,-6.19039,1.49E-01,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide"
215709_at,7.61E-01,4.73E-01,7.21E-01,-6.19047,1.81E-01,PRIM2B///PRIM2,primase (DNA) subunit 2 pseudogene///primase (DNA) subunit 2
214003_x_at,7.61E-01,4.73E-01,7.21E-01,-6.19051,9.49E-02,SNORD54///RPS20,"small nucleolar RNA, C/D box 54///ribosomal protein S20"
208923_at,7.61E-01,4.73E-01,7.21E-01,-6.19052,8.83E-02,CYFIP1,cytoplasmic FMR1 interacting protein 1
221682_s_at,7.61E-01,4.73E-01,7.21E-01,-6.19053,1.78E-01,PCDHGB6,"protocadherin gamma subfamily B, 6"
202185_at,7.61E-01,4.73E-01,-7.21E-01,-6.19055,-1.21E-01,PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
34031_i_at,7.61E-01,4.73E-01,-7.21E-01,-6.19055,-1.89E-01,KRIT1,"KRIT1, ankyrin repeat containing"
215459_at,7.61E-01,4.73E-01,-7.21E-01,-6.19056,-1.51E-01,CTNS,"cystinosin, lysosomal cystine transporter"
214851_at,7.61E-01,4.73E-01,-7.21E-01,-6.19057,-1.05E-01,HNF4A,hepatocyte nuclear factor 4 alpha
203146_s_at,7.61E-01,4.73E-01,-7.21E-01,-6.19057,-1.22E-01,GABBR1,gamma-aminobutyric acid type B receptor subunit 1
201866_s_at,7.61E-01,4.73E-01,-7.21E-01,-6.19067,-1.70E-01,NR3C1,nuclear receptor subfamily 3 group C member 1
222145_at,7.61E-01,4.73E-01,7.21E-01,-6.1907,1.10E-01,,
219458_s_at,7.61E-01,4.73E-01,7.21E-01,-6.19074,1.15E-01,NSUN3,NOP2/Sun RNA methyltransferase family member 3
210615_at,7.61E-01,4.73E-01,7.21E-01,-6.19077,8.96E-02,NRP1,neuropilin 1
209200_at,7.61E-01,4.73E-01,-7.21E-01,-6.19082,-1.81E-01,MEF2C,myocyte enhancer factor 2C
213983_s_at,7.61E-01,4.73E-01,-7.20E-01,-6.19091,-1.07E-01,PDS5A,PDS5 cohesin associated factor A
205013_s_at,7.61E-01,4.73E-01,7.20E-01,-6.19095,1.35E-01,SPECC1L-ADORA2A///ADORA2A,SPECC1L-ADORA2A readthrough (NMD candidate)///adenosine A2a receptor
208102_s_at,7.61E-01,4.73E-01,7.20E-01,-6.19096,1.38E-01,PSD,pleckstrin and Sec7 domain containing
207613_s_at,7.61E-01,4.74E-01,7.20E-01,-6.19105,1.86E-01,CAMK2A,calcium/calmodulin dependent protein kinase II alpha
214846_s_at,7.61E-01,4.74E-01,-7.20E-01,-6.19107,-1.28E-01,ALPK3,alpha kinase 3
203523_at,7.61E-01,4.74E-01,-7.20E-01,-6.19113,-1.34E-01,LSP1,lymphocyte-specific protein 1
205673_s_at,7.61E-01,4.74E-01,-7.20E-01,-6.19119,-1.02E-01,ASB9,ankyrin repeat and SOCS box containing 9
215505_s_at,7.61E-01,4.74E-01,7.20E-01,-6.19132,1.21E-01,STRN3,striatin 3
36553_at,7.61E-01,4.74E-01,7.19E-01,-6.19171,1.30E-01,ASMTL,acetylserotonin O-methyltransferase-like
635_s_at,7.61E-01,4.74E-01,7.19E-01,-6.19175,1.49E-01,PPP2R5B,protein phosphatase 2 regulatory subunit B'beta
218485_s_at,7.61E-01,4.74E-01,-7.19E-01,-6.19176,-1.33E-01,SLC35C1,solute carrier family 35 member C1
36004_at,7.61E-01,4.74E-01,-7.19E-01,-6.19184,-9.50E-02,IKBKG,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma"
219319_at,7.61E-01,4.74E-01,7.19E-01,-6.19188,1.16E-01,HIF3A,hypoxia inducible factor 3 alpha subunit
220295_x_at,7.61E-01,4.74E-01,7.19E-01,-6.19192,1.02E-01,DEPDC1,DEP domain containing 1
202711_at,7.62E-01,4.74E-01,-7.19E-01,-6.19209,-1.00E-01,EFNB1,ephrin B1
215229_at,7.62E-01,4.75E-01,-7.19E-01,-6.19217,-1.31E-01,LOC100129973,uncharacterized LOC100129973
212584_at,7.62E-01,4.75E-01,7.19E-01,-6.19221,1.14E-01,AQR,aquarius intron-binding spliceosomal factor
207197_at,7.62E-01,4.75E-01,7.19E-01,-6.19224,1.00E-01,ZIC3,Zic family member 3
211012_s_at,7.62E-01,4.75E-01,-7.19E-01,-6.19225,-1.03E-01,PML,promyelocytic leukemia
212947_at,7.62E-01,4.75E-01,7.19E-01,-6.19228,1.51E-01,SLC9A8,solute carrier family 9 member A8
215228_at,7.62E-01,4.75E-01,7.18E-01,-6.19243,1.04E-01,NHLH2,nescient helix-loop-helix 2
205517_at,7.62E-01,4.75E-01,7.18E-01,-6.19251,1.75E-01,GATA4,GATA binding protein 4
219360_s_at,7.62E-01,4.75E-01,-7.18E-01,-6.1926,-1.59E-01,TRPM4,transient receptor potential cation channel subfamily M member 4
204250_s_at,7.62E-01,4.75E-01,-7.18E-01,-6.19268,-1.38E-01,CEP164,centrosomal protein 164
208307_at,7.62E-01,4.75E-01,-7.18E-01,-6.1927,-1.44E-01,RBMY1J///RBMY1E///RBMY1D///RBMY1B///RBMY1F///RBMY1A1,"RNA binding motif protein, Y-linked, family 1, member J///RNA binding motif protein, Y-linked, family 1, member E///RNA binding motif protein, Y-linked, family 1, member D///RNA binding motif protein, Y-linked, family 1, member B///RNA binding motif protein, Y-linked, family 1, member F///RNA binding motif protein, Y-linked, family 1, member A1"
215420_at,7.62E-01,4.75E-01,7.18E-01,-6.19272,1.06E-01,IHH,indian hedgehog
204975_at,7.62E-01,4.75E-01,7.18E-01,-6.19277,1.17E-01,EMP2,epithelial membrane protein 2
208422_at,7.62E-01,4.75E-01,7.18E-01,-6.19279,1.03E-01,MSR1,macrophage scavenger receptor 1
207835_at,7.62E-01,4.75E-01,7.18E-01,-6.19281,9.76E-02,FBLN1,fibulin 1
205126_at,7.62E-01,4.75E-01,-7.18E-01,-6.19287,-8.73E-02,VRK2,vaccinia related kinase 2
200829_x_at,7.62E-01,4.75E-01,7.18E-01,-6.1929,8.32E-02,ZNF207,zinc finger protein 207
221384_at,7.62E-01,4.75E-01,-7.18E-01,-6.19294,-1.46E-01,UCP1,uncoupling protein 1
206357_at,7.62E-01,4.75E-01,7.18E-01,-6.19299,1.30E-01,OPA3,"optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)"
215396_at,7.62E-01,4.75E-01,-7.17E-01,-6.19312,-1.02E-01,ADGRV1,adhesion G protein-coupled receptor V1
205379_at,7.62E-01,4.75E-01,-7.17E-01,-6.1932,-1.41E-01,CBR3,carbonyl reductase 3
210487_at,7.62E-01,4.75E-01,7.17E-01,-6.19322,9.63E-02,DNTT,DNA nucleotidylexotransferase
221324_at,7.62E-01,4.75E-01,-7.17E-01,-6.19324,-1.35E-01,TAS2R1,taste 2 receptor member 1
214618_at,7.62E-01,4.76E-01,7.17E-01,-6.19331,1.24E-01,CFLAR,CASP8 and FADD like apoptosis regulator
203704_s_at,7.62E-01,4.76E-01,-7.17E-01,-6.19333,-1.31E-01,RREB1,ras responsive element binding protein 1
213934_s_at,7.62E-01,4.76E-01,7.17E-01,-6.19342,1.33E-01,ZNF23,zinc finger protein 23
216013_at,7.62E-01,4.76E-01,7.17E-01,-6.19351,1.00E-01,ZXDB,"zinc finger, X-linked, duplicated B"
218945_at,7.62E-01,4.76E-01,-7.17E-01,-6.19358,-1.50E-01,METTL22,methyltransferase like 22
217425_at,7.62E-01,4.76E-01,7.17E-01,-6.19359,9.97E-02,MC2R,melanocortin 2 receptor
206674_at,7.62E-01,4.76E-01,-7.16E-01,-6.19375,-1.32E-01,FLT3,fms related tyrosine kinase 3
216917_s_at,7.62E-01,4.76E-01,7.16E-01,-6.19379,1.13E-01,SYCP1,synaptonemal complex protein 1
220501_at,7.62E-01,4.76E-01,-7.16E-01,-6.19383,-1.32E-01,ACTL7A,actin like 7A
212608_s_at,7.62E-01,4.76E-01,7.16E-01,-6.19399,1.70E-01,NUDT3,nudix hydrolase 3
217493_x_at,7.62E-01,4.76E-01,-7.16E-01,-6.19405,-1.04E-01,NCR2,natural cytotoxicity triggering receptor 2
214025_at,7.62E-01,4.76E-01,-7.16E-01,-6.19408,-1.56E-01,DDX28,DEAD-box helicase 28
207073_at,7.63E-01,4.77E-01,-7.15E-01,-6.19449,-7.52E-02,CDKL2,cyclin dependent kinase like 2
209923_s_at,7.63E-01,4.77E-01,7.15E-01,-6.19456,1.54E-01,BRAP,BRCA1 associated protein
213500_at,7.63E-01,4.77E-01,7.15E-01,-6.19475,1.02E-01,,
210430_x_at,7.63E-01,4.77E-01,-7.15E-01,-6.19496,-1.03E-01,RHD,Rh blood group D antigen
214037_s_at,7.63E-01,4.77E-01,7.15E-01,-6.19498,1.62E-01,CCDC22,coiled-coil domain containing 22
215023_s_at,7.63E-01,4.77E-01,-7.15E-01,-6.19499,-1.53E-01,PEX1,peroxisomal biogenesis factor 1
205337_at,7.63E-01,4.77E-01,-7.15E-01,-6.195,-1.55E-01,DCT,dopachrome tautomerase
212415_at,7.63E-01,4.77E-01,7.15E-01,-6.19507,1.42E-01,sep-06,septin 6
222113_s_at,7.63E-01,4.77E-01,-7.14E-01,-6.19518,-9.01E-02,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1
222322_at,7.63E-01,4.77E-01,7.14E-01,-6.19519,1.28E-01,,
212600_s_at,7.64E-01,4.77E-01,-7.14E-01,-6.19528,-1.10E-01,UQCRC2,ubiquinol-cytochrome c reductase core protein II
215636_at,7.64E-01,4.77E-01,-7.14E-01,-6.19539,-1.32E-01,UBR4,ubiquitin protein ligase E3 component n-recognin 4
207797_s_at,7.64E-01,4.77E-01,-7.14E-01,-6.19558,-1.08E-01,LRP2BP,LRP2 binding protein
221213_s_at,7.64E-01,4.77E-01,7.14E-01,-6.19558,1.54E-01,LOC145783///ZNF280D,uncharacterized LOC145783///zinc finger protein 280D
212948_at,7.64E-01,4.78E-01,-7.14E-01,-6.19569,-1.05E-01,CAMTA2,calmodulin binding transcription activator 2
208204_s_at,7.64E-01,4.78E-01,7.14E-01,-6.19571,1.12E-01,CAV3,caveolin 3
201162_at,7.64E-01,4.78E-01,7.14E-01,-6.19573,2.62E-01,IGFBP7,insulin like growth factor binding protein 7
213234_at,7.64E-01,4.78E-01,7.14E-01,-6.19581,1.16E-01,FAM234B,family with sequence similarity 234 member B
207815_at,7.64E-01,4.78E-01,-7.13E-01,-6.19587,-1.41E-01,PF4V1,platelet factor 4 variant 1
206586_at,7.64E-01,4.78E-01,-7.13E-01,-6.19591,-9.17E-02,CNR2,cannabinoid receptor 2
219645_at,7.64E-01,4.78E-01,7.13E-01,-6.19618,9.82E-02,CASQ1,calsequestrin 1
212214_at,7.64E-01,4.78E-01,7.13E-01,-6.19623,1.03E-01,OPA1,"OPA1, mitochondrial dynamin like GTPase"
216145_at,7.64E-01,4.78E-01,-7.13E-01,-6.19632,-1.69E-01,,
220322_at,7.64E-01,4.78E-01,7.13E-01,-6.19637,1.00E-01,IL36G,"interleukin 36, gamma"
212401_s_at,7.64E-01,4.78E-01,7.13E-01,-6.19638,8.12E-02,CDK11A///CDK11B,cyclin dependent kinase 11A///cyclin dependent kinase 11B
219479_at,7.64E-01,4.78E-01,7.13E-01,-6.19644,1.64E-01,KDELC1,KDEL motif containing 1
200868_s_at,7.64E-01,4.78E-01,7.13E-01,-6.19644,1.82E-01,RNF114,ring finger protein 114
206783_at,7.64E-01,4.78E-01,-7.12E-01,-6.19654,-1.05E-01,FGF4,fibroblast growth factor 4
217396_at,7.64E-01,4.78E-01,7.12E-01,-6.19662,1.21E-01,,
210389_x_at,7.64E-01,4.78E-01,-7.12E-01,-6.19671,-1.02E-01,TUBD1,tubulin delta 1
206034_at,7.64E-01,4.79E-01,7.12E-01,-6.19675,1.11E-01,SERPINB8,serpin family B member 8
200642_at,7.64E-01,4.79E-01,7.12E-01,-6.19676,9.74E-02,SOD1,"superoxide dismutase 1, soluble"
205692_s_at,7.65E-01,4.79E-01,7.12E-01,-6.19687,1.09E-01,CD38,CD38 molecule
202750_s_at,7.65E-01,4.79E-01,7.12E-01,-6.19689,1.42E-01,TFIP11,tuftelin interacting protein 11
220695_at,7.65E-01,4.79E-01,-7.12E-01,-6.19693,-1.01E-01,,
219001_s_at,7.65E-01,4.79E-01,-7.12E-01,-6.19706,-1.01E-01,DCAF10,DDB1 and CUL4 associated factor 10
207488_at,7.65E-01,4.79E-01,-7.12E-01,-6.19719,-1.12E-01,,
217429_at,7.65E-01,4.79E-01,7.11E-01,-6.19725,1.29E-01,,
204804_at,7.65E-01,4.79E-01,-7.11E-01,-6.19736,-9.56E-02,TRIM21,tripartite motif containing 21
216055_at,7.65E-01,4.79E-01,7.11E-01,-6.19744,1.06E-01,PDGFB,platelet derived growth factor subunit B
211034_s_at,7.65E-01,4.79E-01,7.11E-01,-6.19752,1.08E-01,HECTD4,HECT domain E3 ubiquitin protein ligase 4
222333_at,7.65E-01,4.79E-01,-7.11E-01,-6.19758,-1.64E-01,ALS2CL,ALS2 C-terminal like
210889_s_at,7.65E-01,4.79E-01,-7.11E-01,-6.1977,-1.52E-01,FCGR2B,Fc fragment of IgG receptor IIb
219009_at,7.65E-01,4.79E-01,7.11E-01,-6.19771,1.32E-01,C14orf93,chromosome 14 open reading frame 93
203796_s_at,7.65E-01,4.79E-01,7.11E-01,-6.1978,1.08E-01,BCL7A,BCL tumor suppressor 7A
200960_x_at,7.65E-01,4.80E-01,7.10E-01,-6.19794,1.29E-01,CLTA,clathrin light chain A
214933_at,7.65E-01,4.80E-01,7.10E-01,-6.19796,9.73E-02,LOC100507353///CACNA1A,uncharacterized LOC100507353///calcium voltage-gated channel subunit alpha1 A
211093_at,7.65E-01,4.80E-01,7.10E-01,-6.19798,1.44E-01,PDE6C,phosphodiesterase 6C
222102_at,7.65E-01,4.80E-01,-7.10E-01,-6.19803,-9.23E-02,GSTA3,glutathione S-transferase alpha 3
207754_at,7.65E-01,4.80E-01,-7.10E-01,-6.19804,-1.11E-01,RASSF8,Ras association domain family member 8
215269_at,7.65E-01,4.80E-01,7.10E-01,-6.19805,1.04E-01,TRAPPC10,trafficking protein particle complex 10
210001_s_at,7.65E-01,4.80E-01,-7.10E-01,-6.19819,-1.39E-01,SOCS1,suppressor of cytokine signaling 1
218198_at,7.66E-01,4.80E-01,-7.10E-01,-6.1983,-1.04E-01,DHX32,DEAH-box helicase 32 (putative)
220145_at,7.66E-01,4.80E-01,7.10E-01,-6.19848,1.23E-01,MAP9,microtubule associated protein 9
211043_s_at,7.66E-01,4.80E-01,7.10E-01,-6.19849,9.87E-02,CLTB,clathrin light chain B
218441_s_at,7.66E-01,4.80E-01,7.10E-01,-6.1986,1.19E-01,RPAP1,RNA polymerase II associated protein 1
206676_at,7.66E-01,4.80E-01,-7.09E-01,-6.19865,-1.81E-01,CEACAM8,carcinoembryonic antigen related cell adhesion molecule 8
222358_x_at,7.66E-01,4.80E-01,7.09E-01,-6.19879,1.85E-01,,
218471_s_at,7.66E-01,4.80E-01,7.09E-01,-6.1988,1.20E-01,BBS1,Bardet-Biedl syndrome 1
206775_at,7.66E-01,4.80E-01,-7.09E-01,-6.19884,-1.41E-01,CUBN,cubilin
213033_s_at,7.66E-01,4.80E-01,-7.09E-01,-6.19887,-1.30E-01,NFIB,nuclear factor I B
202022_at,7.66E-01,4.80E-01,-7.09E-01,-6.19891,-1.33E-01,ALDOC,"aldolase, fructose-bisphosphate C"
218853_s_at,7.66E-01,4.80E-01,7.09E-01,-6.19893,9.07E-02,MOSPD1,motile sperm domain containing 1
215259_s_at,7.66E-01,4.80E-01,7.09E-01,-6.19894,1.70E-01,CADM4,cell adhesion molecule 4
207239_s_at,7.66E-01,4.80E-01,-7.09E-01,-6.19896,-1.09E-01,CDK16,cyclin dependent kinase 16
222185_at,7.66E-01,4.81E-01,-7.09E-01,-6.199,-1.02E-01,PKNOX2,PBX/knotted 1 homeobox 2
209381_x_at,7.66E-01,4.81E-01,-7.09E-01,-6.19904,-1.07E-01,SF3A2,splicing factor 3a subunit 2
202253_s_at,7.66E-01,4.81E-01,-7.09E-01,-6.19905,-1.52E-01,DNM2,dynamin 2
207405_s_at,7.66E-01,4.81E-01,7.09E-01,-6.19914,8.82E-02,RAD17,RAD17 checkpoint clamp loader component
208714_at,7.66E-01,4.81E-01,7.09E-01,-6.19923,1.31E-01,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1
207899_at,7.66E-01,4.81E-01,7.09E-01,-6.19929,1.37E-01,GIP,gastric inhibitory polypeptide
218500_at,7.66E-01,4.81E-01,7.08E-01,-6.19946,1.30E-01,THEM6,thioesterase superfamily member 6
201077_s_at,7.66E-01,4.81E-01,7.08E-01,-6.19956,9.36E-02,SNU13///ANXA2,"SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)///annexin A2"
206504_at,7.66E-01,4.81E-01,7.08E-01,-6.19964,9.58E-02,CYP24A1,cytochrome P450 family 24 subfamily A member 1
221436_s_at,7.66E-01,4.81E-01,7.08E-01,-6.19973,1.22E-01,CDCA3,cell division cycle associated 3
201753_s_at,7.66E-01,4.81E-01,-7.08E-01,-6.19989,-9.70E-02,ADD3,adducin 3
204548_at,7.67E-01,4.81E-01,-7.07E-01,-6.2,-1.11E-01,STAR,steroidogenic acute regulatory protein
210232_at,7.67E-01,4.81E-01,7.07E-01,-6.2,9.97E-02,CDC42,cell division cycle 42
216162_at,7.67E-01,4.81E-01,-7.07E-01,-6.20008,-1.32E-01,SBNO1,strawberry notch homolog 1
210923_at,7.67E-01,4.81E-01,-7.07E-01,-6.20008,-9.76E-02,SLC1A7,solute carrier family 1 member 7
219194_at,7.67E-01,4.82E-01,-7.07E-01,-6.20012,-9.62E-02,SEMA4G,semaphorin 4G
211097_s_at,7.67E-01,4.82E-01,7.07E-01,-6.20014,1.23E-01,PBX2,PBX homeobox 2
221081_s_at,7.67E-01,4.82E-01,7.07E-01,-6.20038,1.19E-01,DENND2D,DENN domain containing 2D
207311_at,7.67E-01,4.82E-01,-7.07E-01,-6.20043,-1.72E-01,DOC2B,double C2 domain beta
216784_at,7.67E-01,4.82E-01,7.07E-01,-6.20045,9.94E-02,,
215995_x_at,7.67E-01,4.82E-01,7.07E-01,-6.20047,1.80E-01,,
207589_at,7.67E-01,4.82E-01,-7.07E-01,-6.2005,-1.92E-01,ADRA1B,adrenoceptor alpha 1B
216638_s_at,7.67E-01,4.82E-01,7.07E-01,-6.20051,1.62E-01,PRLR,prolactin receptor
214253_s_at,7.67E-01,4.82E-01,7.07E-01,-6.20053,1.28E-01,DTNB,dystrobrevin beta
200079_s_at,7.67E-01,4.82E-01,7.07E-01,-6.20066,8.39E-02,KARS,lysyl-tRNA synthetase
220362_at,7.67E-01,4.82E-01,-7.07E-01,-6.20069,-9.52E-02,PSORS1C1,psoriasis susceptibility 1 candidate 1
212486_s_at,7.67E-01,4.82E-01,-7.06E-01,-6.20073,-1.47E-01,FYN,"FYN proto-oncogene, Src family tyrosine kinase"
204879_at,7.67E-01,4.82E-01,-7.06E-01,-6.20075,-1.36E-01,PDPN,podoplanin
206352_s_at,7.67E-01,4.82E-01,7.06E-01,-6.20075,1.03E-01,PEX10,peroxisomal biogenesis factor 10
216467_s_at,7.67E-01,4.82E-01,-7.06E-01,-6.20091,-1.36E-01,,
210398_x_at,7.67E-01,4.82E-01,-7.06E-01,-6.20096,-1.09E-01,FUT6,fucosyltransferase 6
208524_at,7.67E-01,4.82E-01,7.06E-01,-6.20096,1.55E-01,GPR15,G protein-coupled receptor 15
217868_s_at,7.67E-01,4.82E-01,7.06E-01,-6.2011,1.50E-01,METTL9,methyltransferase like 9
218741_at,7.67E-01,4.82E-01,7.06E-01,-6.20112,1.32E-01,CENPM,centromere protein M
211844_s_at,7.67E-01,4.82E-01,7.06E-01,-6.20116,1.11E-01,NRP2,neuropilin 2
40837_at,7.67E-01,4.82E-01,7.06E-01,-6.2012,9.99E-02,TLE2,transducin like enhancer of split 2
206039_at,7.67E-01,4.83E-01,7.05E-01,-6.20142,1.36E-01,RAB33A,"RAB33A, member RAS oncogene family"
201177_s_at,7.67E-01,4.83E-01,-7.05E-01,-6.20145,-1.35E-01,UBA2,ubiquitin like modifier activating enzyme 2
205302_at,7.67E-01,4.83E-01,-7.05E-01,-6.20151,-1.97E-01,IGFBP1,insulin like growth factor binding protein 1
216919_at,7.67E-01,4.83E-01,7.05E-01,-6.20166,1.23E-01,TP53I11,tumor protein p53 inducible protein 11
202727_s_at,7.67E-01,4.83E-01,-7.05E-01,-6.20168,-1.08E-01,IFNGR1,interferon gamma receptor 1
220112_at,7.68E-01,4.83E-01,-7.05E-01,-6.20183,-1.45E-01,ANKRD55,ankyrin repeat domain 55
216337_at,7.68E-01,4.83E-01,-7.05E-01,-6.20192,-1.02E-01,,
204199_at,7.68E-01,4.83E-01,7.04E-01,-6.20213,1.35E-01,RALGPS1,Ral GEF with PH domain and SH3 binding motif 1
217873_at,7.68E-01,4.83E-01,7.04E-01,-6.20215,1.17E-01,CAB39,calcium binding protein 39
220637_at,7.68E-01,4.83E-01,7.04E-01,-6.20218,8.11E-02,FAM124B,family with sequence similarity 124 member B
216417_x_at,7.68E-01,4.83E-01,7.04E-01,-6.20227,1.74E-01,HOXB9,homeobox B9
214389_at,7.68E-01,4.84E-01,-7.04E-01,-6.20237,-1.58E-01,SLC5A12,solute carrier family 5 member 12
218105_s_at,7.68E-01,4.84E-01,-7.04E-01,-6.2024,-1.07E-01,MRPL4,mitochondrial ribosomal protein L4
216659_at,7.68E-01,4.84E-01,7.04E-01,-6.20244,1.43E-01,LOC1720,dihydrofolate reductase pseudogene
205834_s_at,7.68E-01,4.84E-01,-7.04E-01,-6.20244,-8.46E-02,PART1,prostate androgen-regulated transcript 1 (non-protein coding)
219589_s_at,7.68E-01,4.84E-01,7.04E-01,-6.20248,1.57E-01,TMEM143,transmembrane protein 143
203163_at,7.68E-01,4.84E-01,7.04E-01,-6.20252,1.07E-01,KATNB1,katanin regulatory subunit B1
217667_at,7.68E-01,4.84E-01,-7.04E-01,-6.20252,-1.08E-01,SEC14L1P1,SEC14 like 1 pseudogene 1
37425_g_at,7.68E-01,4.84E-01,7.04E-01,-6.20254,1.09E-01,CCHCR1,coiled-coil alpha-helical rod protein 1
207189_s_at,7.68E-01,4.84E-01,-7.04E-01,-6.20262,-1.23E-01,ZZEF1,zinc finger ZZ-type and EF-hand domain containing 1
207059_at,7.68E-01,4.84E-01,7.03E-01,-6.2028,1.11E-01,PAX9,paired box 9
215187_at,7.68E-01,4.84E-01,-7.03E-01,-6.20293,-1.00E-01,LOC55338,uncharacterized LOC55338
205210_at,7.68E-01,4.84E-01,7.03E-01,-6.20296,1.16E-01,TGFBRAP1,transforming growth factor beta receptor associated protein 1
213308_at,7.68E-01,4.84E-01,7.03E-01,-6.20298,8.45E-02,SHANK2,SH3 and multiple ankyrin repeat domains 2
222095_s_at,7.68E-01,4.84E-01,-7.03E-01,-6.2031,-1.41E-01,FAM163A,family with sequence similarity 163 member A
210275_s_at,7.68E-01,4.84E-01,-7.03E-01,-6.20314,-1.18E-01,ZFAND5,zinc finger AN1-type containing 5
220052_s_at,7.68E-01,4.84E-01,-7.03E-01,-6.20318,-7.53E-02,TINF2,TERF1 interacting nuclear factor 2
201905_s_at,7.68E-01,4.84E-01,7.03E-01,-6.20322,1.13E-01,CTDSPL,CTD small phosphatase like
213602_s_at,7.68E-01,4.84E-01,-7.03E-01,-6.20331,-1.21E-01,,
203210_s_at,7.68E-01,4.84E-01,7.03E-01,-6.20333,1.06E-01,RFC5,replication factor C subunit 5
209643_s_at,7.68E-01,4.84E-01,7.03E-01,-6.20345,1.68E-01,PLD2,phospholipase D2
215146_s_at,7.68E-01,4.85E-01,-7.02E-01,-6.20351,-1.38E-01,TTC28,tetratricopeptide repeat domain 28
218868_at,7.68E-01,4.85E-01,7.02E-01,-6.20354,1.24E-01,ACTR3B,ARP3 actin related protein 3 homolog B
204335_at,7.68E-01,4.85E-01,7.02E-01,-6.20355,1.01E-01,CCDC94,coiled-coil domain containing 94
200789_at,7.68E-01,4.85E-01,-7.02E-01,-6.20358,-1.97E-01,ECH1,enoyl-CoA hydratase 1
207689_at,7.69E-01,4.85E-01,-7.02E-01,-6.20369,-1.35E-01,TBX10,T-box 10
207070_at,7.69E-01,4.85E-01,7.02E-01,-6.20394,1.02E-01,RGR,retinal G protein coupled receptor
205081_at,7.69E-01,4.85E-01,7.02E-01,-6.20396,1.99E-01,CRIP1,cysteine rich protein 1
220274_at,7.69E-01,4.85E-01,7.02E-01,-6.20401,1.24E-01,IQCA1,IQ motif containing with AAA domain 1
210676_x_at,7.69E-01,4.85E-01,-7.02E-01,-6.20401,-1.19E-01,RGPD6///RGPD8///RGPD3///RGPD4///RGPD5,RANBP2-like and GRIP domain containing 6///RANBP2-like and GRIP domain containing 8///RANBP2-like and GRIP domain containing 3///RANBP2-like and GRIP domain containing 4///RANBP2-like and GRIP domain containing 5
211014_s_at,7.69E-01,4.85E-01,7.02E-01,-6.20407,1.10E-01,PML,promyelocytic leukemia
216649_at,7.69E-01,4.85E-01,7.01E-01,-6.20415,1.95E-01,RREB1,ras responsive element binding protein 1
217693_x_at,7.69E-01,4.85E-01,7.01E-01,-6.20428,9.70E-02,MAGOH2P,"mago homolog 2, pseudogene"
207651_at,7.69E-01,4.85E-01,7.01E-01,-6.20437,1.17E-01,GPR171,G protein-coupled receptor 171
203393_at,7.69E-01,4.85E-01,-7.01E-01,-6.20446,-9.62E-02,HES1,hes family bHLH transcription factor 1
221864_at,7.69E-01,4.85E-01,-7.01E-01,-6.2045,-1.26E-01,ORAI3,ORAI calcium release-activated calcium modulator 3
205562_at,7.69E-01,4.85E-01,-7.01E-01,-6.2045,-1.03E-01,RPP38,ribonuclease P/MRP subunit p38
207446_at,7.69E-01,4.85E-01,-7.01E-01,-6.20457,-9.81E-02,TLR6,toll like receptor 6
207922_s_at,7.69E-01,4.85E-01,7.01E-01,-6.20457,1.08E-01,MAEA,macrophage erythroblast attacher
216688_at,7.69E-01,4.86E-01,-7.00E-01,-6.20485,-1.17E-01,,
206278_at,7.70E-01,4.86E-01,7.00E-01,-6.20496,1.66E-01,PTAFR,platelet activating factor receptor
221592_at,7.70E-01,4.86E-01,-7.00E-01,-6.20502,-9.33E-02,TBC1D8,TBC1 domain family member 8
216711_s_at,7.70E-01,4.86E-01,7.00E-01,-6.20503,1.51E-01,TAF1,TATA-box binding protein associated factor 1
211906_s_at,7.70E-01,4.86E-01,-7.00E-01,-6.20511,-1.48E-01,SERPINB4,serpin family B member 4
221002_s_at,7.70E-01,4.86E-01,-7.00E-01,-6.20522,-9.68E-02,TSPAN14,tetraspanin 14
209986_at,7.70E-01,4.86E-01,-7.00E-01,-6.20526,-2.00E-01,LOC101929036///PAH,uncharacterized LOC101929036///phenylalanine hydroxylase
209407_s_at,7.70E-01,4.86E-01,7.00E-01,-6.20531,1.63E-01,DEAF1,"DEAF1, transcription factor"
208508_s_at,7.70E-01,4.86E-01,7.00E-01,-6.20534,1.13E-01,OR2J2,olfactory receptor family 2 subfamily J member 2
214616_at,7.70E-01,4.86E-01,-7.00E-01,-6.20535,-7.92E-02,HIST1H3E,"histone cluster 1, H3e"
221585_at,7.70E-01,4.86E-01,-7.00E-01,-6.20536,-1.01E-01,CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4
216973_s_at,7.70E-01,4.86E-01,-7.00E-01,-6.20547,-1.30E-01,HOXB7,homeobox B7
